run_id,group,level_id,seed,target_model_name,draft_model_name,spec_steps,kv_block_size,prefetch_depth,context_length,dtype,tokens_generated,time_sec,throughput_tps,acceptance_rate,mean_latency_ms,gpu_peak_mem_mb,n_rounds,status,error
default_canary_s42,canary,default_canary_s42,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,32,6.5495,4.89,0.0729,204.672,23825.8,24,ok,
A1_tinyllama_1b_s42,A1,A1_tinyllama_1b,42,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,8192,bfloat16,226,39.9395,5.66,0.0678,176.724,23128.3,177,ok,
A1_tinyllama_1b_s123,A1,A1_tinyllama_1b,123,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,8192,bfloat16,259,45.7057,5.67,0.0646,176.47,23484.7,205,ok,
A1_tinyllama_1b_s456,A1,A1_tinyllama_1b,456,meta-llama/Llama-2-7b-hf,TinyLlama/TinyLlama_v1.1,4,512,1,8192,bfloat16,9,2.5031,3.6,0.0357,278.124,21936.2,7,ok,
A1_sheared_1b_s42,A1,A1_sheared_1b,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,126,22.597,5.58,0.0722,179.341,24565.2,97,ok,
A1_sheared_1b_s123,A1,A1_sheared_1b,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,256,48.2775,5.3,0.0656,188.584,25497.5,202,ok,
A1_sheared_1b_s456,A1,A1_sheared_1b,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,23,5.4265,4.24,0.0395,235.935,23794.6,19,ok,
A2_k2_s42,A2,A2_k2,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,8192,bfloat16,6,1.7022,3.52,0.0,283.706,23771.7,5,ok,
A2_k2_s123,A2,A2_k2,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,8192,bfloat16,256,30.4268,8.41,0.0496,118.855,24767.3,232,ok,
A2_k2_s456,A2,A2_k2,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,2,512,1,8192,bfloat16,23,3.8129,6.03,0.0,165.78,23783.6,22,ok,
A2_k4_s42,A2,A2_k4,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,149,25.5774,5.83,0.0958,171.66,24636.3,107,ok,
A2_k4_s123,A2,A2_k4,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,256,44.4115,5.76,0.0838,173.483,25203.0,191,ok,
A2_k4_s456,A2,A2_k4,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,8192,bfloat16,26,5.5082,4.72,0.0789,211.855,23794.6,19,ok,
A2_k6_s42,A2,A2_k6,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,6,512,1,8192,bfloat16,225,56.1673,4.01,0.061,249.632,25541.2,164,ok,
A2_k6_s123,A2,A2_k6,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,6,512,1,8192,bfloat16,173,41.2387,4.2,0.0627,238.374,25080.3,125,ok,
